country,CPI_2015,Risk_Dec_15,Risk_Nov_14,year,electric_percap,food_prod_index,percent_forest,gdp,income_bottom_20,literacy_male,literacy_female,childmort,net_migration,pop,undernourish,school_complete,researchers,rural_pop,total_debt,urban_pop,row_na
France,30,72.8,70.8,2012,7363.42379552155,100.69,30.4077935951159,2683825225092.63,7.9,,,4.1,361722.0,65659809.0,2.5,,4068.4085,21.122,,51791144.0,4
Gabon,66,68.5,71.3,2012,988.751098771091,114.15,86.93289866884001,17171447372.3334,,84.8732986450195,89.4292526245117,59.0,85442.0,1749682.0,9.4,,,13.366,3.84408911813855,1515820.0,3
Gambia,72,62.3,62.8,2012,,108.34,47.7470367793509,910026155.731035,,,,75.3,-13476.0,1905011.0,9.4,69.193489074707,,42.895,9.424268793714301,1087857.0,5
Georgia,48,,,2012,2329.92587038339,73.57,40.6159145538027,15846484587.9004,5.9,,,14.5,-305269.0,3728874.0,8.0,101.539932250977,,43.697,21.6733208792052,2099468.0,5
Germany,19,83.0,84.5,2012,7270.15252302734,106.7,32.7451655477133,3543983909148.01,,,,4.0,1777126.0,80425823.0,2.5,99.2861480712891,4347.29737,22.83,,62064608.0,4
Ghana,53,64.0,61.3,2012,342.200582856528,139.18,40.660102859662,41939728978.7281,5.4,,,65.2,-49999.0,25996449.0,5.9,95.06580352783199,,47.927,3.17813029213529,13537131.0,3
Greece,54,66.8,64.3,2012,5534.89715854516,99.5,30.7478658056148,245670666639.047,5.8,,,4.0,-161799.0,11045011.0,2.5,94.1161727905273,2179.59376,22.996,,8505100.0,3
Guatemala,72,69.3,66.8,2012,532.651316128098,132.98,34.0537509441198,50388460924.7345,,84.8487319946289,91.9423675537109,32.9,-50131.0,15270778.0,16.4,84.75144958496091,26.91366,51.0,12.274406604590304,7482681.0,1
Guinea,75,53.5,47.8,2012,,128.9,26.338922350643,7638045254.43072,7.6,,,101.6,-250000.0,10652029.0,16.9,61.9038200378418,,65.745,7.994202857156348,3648853.0,4
Guinea-Bissau,83,61.0,62.5,2012,,132.76,71.19487908961591,989327811.785114,,,,103.0,-10003.0,1604979.0,22.8,,,59.092,4.42044676736863,656565.0,6
Guyana,71,63.5,61.8,2012,,116.16,84.10464820929641,2861562265.8830104,,,,36.0,-27278.0,755399.0,9.5,97.67211151123051,,73.6,8.55353672038599,199425.0,5
Haiti,83,57.5,61.0,2012,46.1421549069206,143.36,3.6066763978911096,7890216507.68913,5.5,,,79.3,-150000.0,10250930.0,49.6,,,50.523,0.38196479892639706,5071853.0,4
Honduras,69,66.3,64.8,2012,636.638898439951,118.27,44.2577531504156,18400538970.1119,2.8,85.6961975097656,95.98721313476558,21.9,-15001.0,8640691.0,15.3,90.7310333251953,,46.798,13.7211193600017,4597020.0,1
Hungary,49,74.0,72.3,2012,3923.0423244635604,80.47,22.701866245132894,127856647107.82,7.6,,,5.7,29999.0,9920362.0,2.5,97.5176315307617,2415.17358,30.322,,6912310.0,3
Iceland,21,83.0,79.8,2012,53202.833659686505,114.93,0.451870316579157,14724078264.24,9.3,,,2.5,-2163.0,320716.0,2.5,98.1869583129883,,6.400000000000008,,300190.0,4
India,62,69.8,68.8,2012,723.235461275311,133.81,23.5931093791517,1827637859135.7,,,,52.4,-2578213.0,1265782790.0,17.2,,,68.366,6.70265625321401,400417728.0,5
Indonesia,64,63.8,67.3,2012,733.37182682142,136.08,51.371574449234714,917869910105.748,7.2,,,30.6,-835000.0,248452413.0,8.5,105.254592895508,,48.724,16.8053204872106,127396459.0,3
Iran,73,67.5,61.3,2012,2784.6225083122304,105.9,6.56449106605639,598853401276.1011,,88.87982177734379,97.6617889404297,18.0,-400001.0,75539862.0,5.6,101.751518249512,688.7317,28.245,0.381924160186725,54203628.0,1
Iraq,84,56.0,61.8,2012,1141.14103002348,111.2,1.89952109044023,218000986222.63895,8.8,,,35.1,463665.0,31890011.0,26.8,,,30.568,,22141872.0,5
Ireland,25,81.3,78.5,2012,5651.00848281771,96.55,10.6980692442209,225128651298.07895,7.5,,,4.0,-139996.0,4599533.0,2.5,,3474.26582,38.058,,2849043.0,4
Israel,39,77.0,72.3,2012,7184.50161178181,108.92,7.319777906491869,257435001991.474,4.8,,,4.2,19497.0,7910500.0,2.5,105.85926055908199,8250.47418,8.04000000000001,,7274496.0,3
Italy,56,74.3,72.5,2012,5397.74147734024,92.67,31.0586782123309,2072823157059.76,6.3,,,3.8,264145.0,59539717.0,2.5,100.550926208496,1853.13402,31.316,,40894259.0,3
Jamaica,59,70.8,68.5,2012,1037.60134997249,103.69,31.0563246849392,14798716216.2162,,,,17.7,-93096.0,2842132.0,9.2,,,45.868,37.395257038187,1538503.0,5
Japan,25,82.3,78.8,2012,7998.34677071825,97.4,68.4737787504115,6203213121334.12,,,,3.0,358133.0,127629000.0,2.5,,5032.82098,8.852,,116331281.0,5
Jordan,47,68.5,65.0,2012,1917.59306042661,128.0,1.09822031989187,30966149506.347,,98.4445571899414,99.20272827148442,19.9,975285.0,8090872.0,9.5,,,11.815,6.36495175449372,7134935.0,3
Kazakhstan,72,64.5,70.5,2012,5180.65381859279,108.33,1.22569174352706,207998568865.78894,9.4,,,16.4,159807.0,16792089.0,2.5,106.67404937744101,606.04524,43.027,24.7259772267759,9566957.0,2
Kenya,75,61.8,63.3,2012,150.43949033238502,122.7,7.56088167289683,50412754861.0191,,,,54.4,-50000.0,44343410.0,21.6,,,75.624,4.86162075857843,10809150.0,5
Kuwait,51,74.0,81.5,2012,16053.8548571705,175.3,0.350729517396184,174070025008.932,,95.8397216796875,98.8353118896484,10.0,670000.0,3348853.0,2.5,97.75115966796879,129.28663,0.0,,3348853.0,2
Kyrgyzstan,72,,,2012,1809.1025823940602,104.38,3.44629822732013,6605139933.410629,9.6,,,26.2,-137902.0,5607200.0,7.3,96.5088272094727,,64.577,9.83438382723227,1986238.0,5
Laos,75,,,2012,,146.92,78.8297243961222,10191350119.6808,7.6,,,75.0,-177488.0,6444530.0,18.7,95.2858200073242,,68.736,8.98346927714134,2014818.0,6
